figurative_type,uuid,phrase,category
idiom,82773934316628127411426991991385896156585955859494953927298559132479721602626,go without saying,None
simile,13935606201454194178162899212059254944902030768420202588974601853989114517968,as solid as a rock,Partial Literal
idiom,75337768680300148353036237042599909239110654661708330523581184543590489752161,tongue in cheek,Partial Literal
idiom,72257272902884191157958499392080573203746686039457434201819512848563475230074,keep the wolf from the door,Literal
idiom,33717331926403625288818056022992179174318327692237065556754196106662514001389,on and off,Literal
idiom,11785154925050873662191309229986563259993918825012745420579713771799072554439,part company,Figurative
idiom,42051781911274715497661845892365735594208656181441465438558367227077955706193,bite your tongue,Literal
idiom,107470891686351055535078153876413313995492667393807697540885790806433201878889,full tilt,None
metaphor,10365057082343015736255241674026697386151047584052982462637431209473021580847,sea of bees,Partial Literal
idiom,16973139696180546370055408282000500074989649843377306130482347700846991056193,the joke is on someone,Figurative+Literal
idiom,35661100780885545730594882849955638303665222469896811966445741272288626571632,out of sight,Figurative
metaphor,95360603051342409301078499622905557612714764508418098000568192401833601649053,heart of gold,Figurative
idiom,74031966788777309694893876882207908358701469219556952003542246422452556745412,top dollar,None
idiom,9367866044374109257851499127141653717290248601263430547429633784251021476982,blaze a trail,None
idiom,49099314528570083295788434669310389429325822922770774641464769013785453860756,under the wire,None
idiom,105749014176181107304877362925219055102778578098404277545202188051533470190908,cut the mustard,None
simile,58239436192363186754875021203694589684624565656595027476173898998570230653608,as sour as vinegar,Partial Literal
simile,102230963699831597247660186393532578081404976335851798303056052329623061090555,as hard as a brick,Figurative
idiom,39858821298941028195122894315314922555199025531225657528950582721816885381076,on a full stomach,Partial Literal
idiom,35713545295854004468412716212885328899696384998989308898747229410790468892980,all over the shop,None
idiom,12375762394605590148676046995474944384816664978941256990178876801751481953308,neck of the woods,None
idiom,91034604208190546160008011331734340399350397230471472454422922295795976729301,out of pocket,Figurative
idiom,71307604499674606693065866257877045829082477591751885125044994117639831743817,seize the day,None
metaphor,96432339177926453385841735298239778109114128851326275563668027505472589153939,blanket of flowers,Figurative
idiom,50668311223634675828875282792362950550633121248978432511395576178210259761551,keep a low profile,None
metaphor,69140615040591360166744265112180998542066917372205297723155636649198461052366,home was prison,None
idiom,42782088220241617624991195757643084496386415455070974213762493917803465097873,have someone by the short and curlies,None
idiom,67221966833462015854293236819294692146631983883425501279455018587561594304488,go down the pan,Partial Literal
simile,30143821083791132028213334702409115154330666679793955737816730406283841645055,as fresh as a daisy,Partial Literal
idiom,95373877000000565152378604823080354247388290672503330480739946856807539787376,all over the shop,Figurative
idiom,93674379611444232414683783829532118950622121590761288199419599450464146107205,all bets are off,None
idiom,31107848766999874444813408144537905663304010416251157805794468203360106823255,no strings attached,None
idiom,93090906073452495825078348695418973570606759339289112744275519015231331706186,draw a blank,Figurative
idiom,95124508429464921824829906927632317861806323362054337215995704438070280689271,second childhood,None
idiom,100387888497059160079209675144123762926598178388392090878581628522175409794787,bush telegraph,Figurative
idiom,88009380076522296463368988846513673178637154802893153539659370003723747338742,the plot thickens,None
simile,23646242832243636221779229098066058284987979287796533058592096843363931367983,as big as a mountain,Figurative
idiom,96324926860414184532502169103114930282597307125354751235792280025854478849747,one of those things,None
metaphor,62378342428761219799210915268669237588253710636620707542991343119414976070774,sea of knowledge,Partial Literal
idiom,24885222685426153086889657229090037687514005093093887827369836047343411742552,up a tree,Partial Literal
simile,85501063878826895838841956611245033867622614287148260874296429064851010833391,as fresh as a daisy,Figurative
simile,24466069596256542390229714788533331147481730924055656931020865680045371339964,as red as a tomato,Figurative
metaphor,57392294893340737220596929055703566943025004754507031528876990759060726853266,light of my life,Partial Literal
idiom,68099188516451638020881065768195622724855863591024478205040106710622860287913,rub shoulders,Literal
idiom,43155507761733913446971287969772460775070477697195355982918470301811006389193,cry foul,Figurative
idiom,110891231122916162315246885099001434084810199299504332010893108044477922656838,all over the shop,Figurative
idiom,71217655622902262721015992909150325699973001995623053506474944174753472085370,heavy hitter,None
simile,25287428117947359389979535002322080865889068623070212928074840597504109116857,as sweet as honey,Partial Literal
idiom,71618708260579994469297814822770308132561286326615341378262120421220902970018,chew the cud,Literal
idiom,94186540569805240309225172678924228264108926621583018366846624118056612793005,look the other way,No Category
idiom,89684883860987142964590400735582439068432260083068240364290379654299227953790,go for broke,None
simile,108708511078280082770775905918680223066282722556341850171697714972303302438824,as filthy as a pigsty,Partial Literal
simile,50224186716947181137172201658981390459233845358257378770889636719143175714055,as angry as a hornet,Partial Literal
idiom,114267969028588103005210264271878733421969514519062072312386129380003339640109,set the wheels in motion,Literal
idiom,69778443503909253188696093171174475964912500729437084071000218039370507162572,out of sight,Figurative+Literal
metaphor,13895709492804894034686334065252733289669872871958321755407768911696834234192,sea of umbrellas,Partial Literal
metaphor,112525596010135868049875880326280337427495084573520042283867178395272972445290,sea of bees,Partial Literal
idiom,28983538969963095144200596684007624216095896657926715209599182567548714018804,dog tired,Figurative
idiom,107608376711426466923601492715052082080203890602130907467620293480003538641637,in a nutshell,None
simile,78258660493882019445648850353209636432320721418949469438389495037066802753104,as dry as a desert,Partial Literal
simile,79832165239340893489681433222664683920777181120446664327018735227934262789387,as tall as a skyscraper,Figurative
idiom,84573727177369257280785518623703979864247757568213006341221557938898604555049,one in the eye for,Partial Literal
simile,9557441772249166389592025329446224413909261464179515798996784435212275088823,as slow as a snail,Figurative
idiom,105705985640849946787553695933041880191776137951837312253246406373331287542315,take someone to task,None
idiom,17574952949421621206918111523400103115309958888943192833832309695792448056374,turn tail,Figurative
simile,51967182468060286487110709689461050786381998720133759909773712039658022066752,as blue as the ocean,Partial Literal
simile,32650136549426681381581484557832958440041951079495193728799411830607553183552,as helpless as a baby,Partial Literal
idiom,115673459278773914995327462625665271726337143002483702343355121040052723083967,whistle in the dark,None
idiom,115593750516456496680352080791760593174188233049544053260796869793490204554228,hit the hay,Figurative
metaphor,16425168719135359708573898441884010258076705395294151613196443957154222540386,the car is a rocket,Partial Literal
simile,78658619192032819480146068624688435070379939459509277958197582968520159926552,as helpless as a baby,Partial Literal
simile,41378469538926306203150390553818445534909302885467222062266442441426564418732,as tall as a skyscraper,Partial Literal
simile,19412001390022564993439096824441078308925475821487337101892789980619309746148,as fresh as a daisy,Figurative
metaphor,110371912126468560449829001186641486860161229563444816420309575833239935721695,heart sank,Partial Literal
idiom,20163057267585138430843204301862875267853477826349304826537257047258846431803,split the difference,Figurative
idiom,69050547001755601437804999188134739339349558889958530290818128838522839846259,from the cradle to the grave,Figurative+Literal
simile,74308547687244699216955607534951868444039410502296252161338445245230648514350,as cold as ice,Figurative
simile,86924244965398967383640394293681741505674930219597158819378355489794514217424,as red as a cherry,Figurative
idiom,49420568210268116428069108469629514384666981181362016364190971765060685866708,dead in the water,Figurative
simile,35450558380377415179041343228973484227881778444937344284139685648773558609864,as red as a tomato,Figurative
simile,61339307288640633629698279951001160529532964836185013217187251140089275643494,as sweet as sugar,Partial Literal
simile,67408327338556110909795451913493576465328091335118488687682790688584267777486,as sour as vinegar,Partial Literal
simile,74680032614385266443871088660888169343736537543993047011289074202989827020773,as proud as a peacock,Partial Literal
idiom,41549957212001134296429105853670990511633843819369353446217420367753943231879,scratch the surface,Figurative
idiom,107336300517553298309353510059710489503863503187749855442894012648694394235906,with a will,Figurative
idiom,91102286118666680064899338250347549751974687823548188913006193950735038758892,out of the box,Figurative+Literal
idiom,15957113558035204049317896495098778035242832930254780143871152620119986800722,in the swim,None
idiom,109775217750055588054182200233129403607305850267630996723895777185417886180218,all wet,None
idiom,73698333181023243460626172696953398668991842566328848102001828981522792111988,dead wood,None
idiom,57406224699088192185132815423275023493400041119674295565289931595080510502356,go by the board,None
idiom,8494074709893370729140440747482333563185362510825808853125452707544670086595,jockey for position,Figurative+Literal
simile,53659890172064155238551141388133911349484090956553430840435145615715021095647,as sour as vinegar,Figurative
simile,27419113289878059768694136933956618590942712199451182198732273824582900281195,as busy as a bee,Partial Literal
idiom,27935612307670317310749672543687155701468388853578573422899792723859843943961,first up,None
idiom,109000158157974488802447409939553883939068513890441287729409732514035367030611,make a move,Figurative
idiom,34479673701423951127323935831853851236000033290021890747510633862132543211087,dog in the manger,No Category
idiom,106738174362503954638103282325392222921134661876131863239696784055234002653432,dog tired,Figurative
idiom,88363429041414804274645312745984700970278178199398144147171406334702273129622,take liberties,Figurative
idiom,21712153541111475119292295451567678100166588690871529834599024414772064698198,press the panic button,Figurative
simile,106853353638447841481307768192270119507431406954362323800476878768706468284874,as busy as a bee,Figurative
simile,25454601378172556873656829999128906949216828275375681481089029086397310242429,as strong as an ox,Partial Literal
simile,93090400454225373664692506476600963636972756260772535426876311662884100478888,as red as a tomato,Partial Literal
idiom,20694921268772464152207213416316132794674713065685019444527353450229822713751,ride roughshod over,No Category
idiom,32848004944124539390629461264286922202727709124689171850865447651268339550883,spit feathers,No Category
simile,91631440350615296670056722526297738043025636481034103793896734801859023354760,as tall as a mountain,Partial Literal
idiom,61496377333123903858496828158828669389508960245253705772854927241129045023690,sweep someone off their feet,Figurative+Literal
idiom,111723453079032860245616606249404986512283854150804159092147092374704102470565,jump on the bandwagon,Literal
idiom,93882658266174936956735975056160133722638800849629229275679056686997955453220,lead someone up the garden path,None
simile,47956118025802714088179491367403849041931018129197595981667343978257521271505,as solid as a rock,Figurative
simile,87650062052847139105255027873050179240314520064105958564125091141636024363304,as sweet as honey,Partial Literal
idiom,106050943380893094111418145453388979157388375064714061041849677957794449843973,beard the lion in his den,Figurative+Literal
simile,35803131611661650542900081835209511353076043610981380159445742986748633250189,as big as a mountain,Figurative
idiom,98383797796388558664363452036851840656548859054103984203174337019245631570591,tongue in cheek,No Category
idiom,115489634995255604698638708520222256096350282702366944644720266200833361758401,take a powder,None
simile,98261276102409928875489982587668490665505389945186421205968146317012158910419,as red as a tomato,Partial Literal
idiom,46506482534453014838854623431841065207489480766183549955733971905993388854259,on the money,Figurative
idiom,62927906861576129438685514926977177691342402358673624278537634082137440026104,lay down the law,None
idiom,94944287932532720553252304004699470264857618365568119014934790337668389416351,see the elephant,Partial Literal
simile,15160818106996688636026685990391833177321322797035030618640674598952302477719,as bright as the sun,Partial Literal
simile,48950187523776947452094943623423190653277553901458293803178208942678085846710,as slow as a snail,Partial Literal
idiom,99722346087122411306605803994978557768930918512303817067460574064492805520203,bush telegraph,Figurative
idiom,14551628249226854230269457306378268634417686151745513834665470257348564209646,at the drop of a hat,None
idiom,87163632572761128000352410710080247022108335131924393287296425238573259381860,ride roughshod over,None
idiom,47470524952087574538194964312312458276319985255216127750758395579292808150000,brass neck,None
metaphor,23635808638607720512278061108815879921110051132370142958199003220355761632063,he is a cheetah,Figurative
idiom,40290425575871862973453855116545657071570750110709981855497015975644412846757,roll with the punches,Figurative
idiom,110174272371166689531447264317361115281281355545408613138785114515335927505404,kick up your heels,Figurative+Literal
simile,87816215976587862199937595283602676863016031375577456884591021130361316957748,as sharp as a razor,Partial Literal
metaphor,61722610773360339929941001205986353385826091850021636264198153580010183058706,sea of bees,Figurative
idiom,10071623539502995827455994593366253760594549379878904017072521641671835092777,bundle of joy,Figurative
simile,21550289951542899962269058126201494821435253943988452067375220202824677841583,as blue as the ocean,Figurative
metaphor,53491356965036476548525467617989748809242813999811366773189124403654794993435,house of cards,Partial Literal
idiom,14308480345127909737416435454229022521576205366449571614108468400571422030691,bite your tongue,None
simile,70565713087526732240742148510623509862193671518010120952419410848945244665379,as sour as vinegar,Partial Literal
idiom,93658172195427817498647039774807952028612944131509089664877289407697369060547,fight fire with fire,Figurative+Literal
idiom,68412056345361422390331779607221041919383792565477423963457245437033224150049,make head or tail of,Figurative
idiom,113627961705674236271847221120776380059740690294556598674951915136325540881183,touch wood,No Category
idiom,88511786278121770060605617988539880979961104635964901098326078482901294760643,six feet under,Figurative
idiom,111569282868431996050159383658629648746779316347271787771159028882717739878336,bright and early,Figurative+Literal
metaphor,93590112757178922642231324128035535375374518973348070740325247024108636301973,jungle city,Figurative
idiom,81435665485814584615781603435535556457670061294120068505365662845546324998859,tongue in cheek,Literal
idiom,70467372362330279112313016456474104264114026258112908867488467751262778737262,on the trot,None
simile,68843983729058068491552979233573967193500383924633750474705378025339464371139,as sweet as sugar,Partial Literal
idiom,84333583020991572916580871956087506170459483011338525323380014787118172308088,rake over old coals,None
idiom,114902420715695491919713170494299976128043343386290283622044431365040000977415,on the spur of the moment,None
metaphor,97989914386777064632075351514805499659784630063640182365258918038768349684187,she was a busy bee,Partial Literal
idiom,53328606550951844506852371186989605772078106762693782537541430345673976343849,under a cloud,Literal
metaphor,79072640216744214111012500716213797515848854373690785118951950011865881850355,house of cards,Figurative
idiom,84163573601516884818644873973881647173192221902981653530577504563106128122701,birds of a feather,None
idiom,104753550086365470501508325425320884199643578776071154042655811024119534173233,bear in mind,Figurative+Literal
simile,33971147433945705674239344820485901065929789972803109286200647691091144573075,as hard as rocks,Partial Literal
simile,51210865012083329576296774390378376326127205079327037441241318127255357327840,as tall as a skyscraper,Partial Literal
simile,80653044120361076916548315820831447160785780867375419459789629587757039814168,as tall as a mountain,Partial Literal
idiom,25307771281850980837724654842638101240803865176088350243423258636741908056371,out of the picture,None
idiom,63729330262740986727348917852069816084780801933858585818375858496954441551911,a little bird told me,None
simile,10119927071668928832640168094729684837525210437491867062954705151755967280387,as helpless as a baby,Partial Literal
idiom,38646514943488566842264113301593608738685995632242055945162511679979631139683,go by the board,None
simile,46030429309624820668470070770517247256837478089342403378009474408233529048019,as fast as a cheetah,Figurative
idiom,22441939916091625697427060099907882357307375252297595366969262971701918836196,pump iron,Figurative+Literal
metaphor,102548406484605121116485796759065925497473303762511684111375846361048416575716,their relationship is a house on fire,Partial Literal
idiom,83984292316194239277728358602115689937728754056731332704961762788918676736105,on the skids,None
idiom,86324974009479086806878417615152591058293604589971841011414238787912682431883,lose the plot,None
idiom,84524824945283189947652460226892436201355228179761867745040178797487790510283,on board,None
idiom,32625204838491247128865823067500090677119288959785568361782383320777508726930,ahead of the curve,No Category
idiom,98022076994613951157633934641389319271800117287422889649618631836784276791152,rhyme or reason,None
metaphor,2376232924974648588781352176216122563595611305508268042681766287677366075652,heart of stone,Partial Literal
simile,80814928231280866029234140859412902753465455477556884711314606639612246435067,as filthy as a pigsty,Figurative
idiom,85289586464681740779687731440603171178452238005280737028171369967312844657789,on the skids,Figurative
idiom,110538702975856873175789390436242596186627468009846574160028587299764976948144,up to no good,Figurative
metaphor,11078326901046011968447681574355317880314753455311151593856223656761307627899,heart of a lion,Partial Literal
idiom,107258979139284391815894721947921119866364135338696539173551842659963443751084,on thin ice,None
simile,91913392842789986216408526022464631800182315823806301237944862865399637843390,as dry as a desert,Partial Literal
idiom,75421263589167913843605684084502012946643091482033816266377178449048141350476,last hurrah,None
idiom,39308722593505828558250946908529594540179022229562986045066948319096322001610,go ballistic,Figurative
idiom,113270431321122463120068531386949652463767444640852362509875006797829208423418,paint the town red,Partial Literal
idiom,113889283519895472415626656955024655186381619198123247665965711170854884009963,take a powder,None
metaphor,105701348643660457773898502181776018878271612029388123322631311486211260692557,heart sank,None
idiom,106258312999388964522371905030187530626828089875206405843294126119032108736180,under fire,None
idiom,78638316691730089831731020126044005552180062374992512749509619899452130449501,tell tales out of school,Figurative
metaphor,52589972417685860484799656545393949890256346766708021676150733367535523816009,their relationship is a house on fire,Partial Literal
idiom,22310069181023527395434288636642581810815416785332668979346330664211823189935,pick up the tab,No Category
idiom,73473635837487484504609602745003551699752194023165291937682598554352083849132,jump down someone's throat,None
idiom,88466425123638506821641627837215188921697628990325489686675494725463026462779,make the cut,None
idiom,96478407680082716153811427965855344010512742942250462527721591977908199586886,free rein,Figurative
idiom,8700520046230896555018656714808543359372442666964018236359917826404290329117,for the time being,None
idiom,69968678189150939813019466040674411348366328642370888602946078123101069874008,bite the big one,None
idiom,16077876746407046457204408234894795922077557883244577146820070424209540386532,rhyme or reason,Figurative
metaphor,105658690254394937599577769323299273431421112331957486655046325180130277681910,sea of umbrellas,Partial Literal
simile,6803222971412233112807351854355176367221780585030699142579534198546715102698,as filthy as a pigsty,Partial Literal
simile,20112798433078351118527607969614555888950532082413724081287381769434068245706,as sweet as sugar,Partial Literal
simile,97602215019697484815556847711388470918349993900354896689164771000620029152971,as white as a ghost,Figurative
idiom,29079934010098823785609518388993169139617979954152518599901429268096405301155,when the chips are down,None
idiom,51774996668348325340692428441924626478104427979210542050685117901304099574564,run out of steam,Figurative
idiom,115709886811284833190869323702847677815437476488718040918869392179624820971675,take the fifth,Figurative
metaphor,13701441860594025556098624943657423548717358144632439037807440825269918438987,their relationship is a house on fire,Partial Literal
idiom,90277011840977188345190141489023731100134171094241896098416964840568766858467,fly the coop,Figurative
idiom,45229454026730950994991954606956012291119210342782567386090745352798482491919,have the hots for,Figurative
idiom,84094563373595220467784376407358010223349114550099656155315395822226756749865,go ballistic,None
idiom,44986382214318690434564149584982906177339837797809997816699860889385686590597,make heavy weather of,Figurative
metaphor,42292903915239960979764965817065075000586474191353259178517276191797851423115,a shinning star,None
idiom,53339599948413750968302169330234637728089784008372238355550587823957588461025,out of sight,None
simile,84427073166610962672542034678686196858715947562929898659322366422090172460594,as fresh as a daisy,Partial Literal
idiom,75964451095889768735620432549214543008406366858391983640242211165218414169537,come up roses,None
idiom,55432266556400299968883485699222508130697727918687057120649497627135764905663,come to terms with,Figurative
idiom,16067684161722231564774201124664089571396192662666666393928887591083001145326,king of beasts,Figurative+Literal
idiom,10590199515677539646872686376102105483484362501028466059278294381825445450308,take a hike,Figurative
idiom,78178500706318439522609845538300728191871346807603403957393109718480343687771,on the trot,Figurative
idiom,14264762756988013319583665316573860866687457934703833555899038524418733051222,scratch the surface,None
idiom,55074667080163341998104994335186915976243213020287551017973684586803591097063,leave no stone unturned,Figurative+Literal
idiom,51864553296401851368459459875395513839252934775229807628754220059071729834144,cross swords,None
simile,3994628757018556591273758133776914532977951136292237840945868444450754411809,as helpless as a baby,Partial Literal
idiom,5203350066332443702581368691159297310657811281324976092421725216830773331446,kick up your heels,None
idiom,95877453205978164533015285405650518342999049862145962266421990203313983835887,cut a rug,Literal
idiom,29074811439913722329464525037475477974777483233499618049843388082263026224439,pick up the tab,Figurative
idiom,17668979367822387827056258054386480077098159265889465389592016222662057520373,from the cradle to the grave,Figurative
idiom,51541559867451784803187381663410546952012778146721190075245870057869573261352,back to the drawing board,None
idiom,66195583588820184284301721560458195862377656715346797473600491329573031302831,away with the fairies,Figurative
simile,17117953456825226534064521090305209055063450182579101122266643866951051106910,as red as a tomato,Figurative
idiom,87418959996254207804493824349164256003572373098325812189330173494202278734449,cross swords,Figurative
simile,11692778961608193140721139526320257911033305005699564217283802109647019526280,as hard as a brick,Figurative
idiom,71143304941497159666129573512790175556325199486120566946981088285033323610290,bright and early,Figurative+Literal
idiom,115682156552397565224151205816583291063100690497616143829165102573824450080675,cook someone's goose,Partial Literal
idiom,60781983089035472863831560094761757730956170263121096139342979874324158048784,on the ball,Figurative+Literal
idiom,6247573845575065312645060091532698613261268946815055291601541317941547567772,let sleeping dogs lie,None
simile,55256133625888452459852821290877158376952150312940389858549927887039854704854,as sharp as an arrow,Figurative
idiom,96302741192976637755133399741835634351502807838781300241020313253072508343510,rock the boat,None
idiom,17175138210432082362113802852931392430663001282332242632807016660431856707856,have been around,No Category
idiom,110126587096471355207282253769094221307822476164421618031969773309056834485623,pull out all the stops,None
idiom,62662156985162489381337575196694051792013911991374304793891988498962959713666,go by the board,Figurative
idiom,96422995192060569375182730870867111752065873682728062855739490911200678574657,save someone's skin,None
simile,67301231096172631596149926444833389338849724001518167234305266098847586163206,as fast as a cheetah,Figurative
idiom,51101000745228436314531471905525648488252083549065894696813147107505814353201,cry foul,Figurative
idiom,89891818228400626189034561378968206688589770888911185664795036180946616246088,off the wall,Figurative
idiom,47016351753178592291615615861899393636158662799042837739856660918078477169533,on a full stomach,Figurative+Literal
idiom,24246726348767992331540061886025467619764631531840308843102539545548148136196,tired and emotional,None
idiom,65291991927465049206407607554084257913625913889222116169378267952832062007009,pick up the pieces,None
idiom,93281799161345911541736364727844275361178364259206712780377378310393171496864,on the horn,None
metaphor,34636238341886297853274933766540052790726854160372136671648077043872059458708,blanket of bullets,Partial Literal
idiom,84163093642206024665494284359130696632006831450243027422919565650281169057780,no strings attached,None
idiom,12564949866881156239645858926198684357989995887786621544303147175442937934016,under the wire,Figurative
idiom,79750941070933682768889672897151588375972900169316546305074398982096861903537,full tilt,No Category
idiom,112980368659083733886102767330099678405282341931522418838072067773045095991570,the joke is on someone,None
simile,98261276102409928875489982587668490665505389945186421205968146317012158910419,as red as a cherry,Partial Literal
idiom,40618554090858301799709611443562823638319345799626044140673311771625168324585,hit the hay,Literal
idiom,113811588617092922531215694099823462266487666370978324926777335317127645445654,odds and ends,None
idiom,19164822111163582856812359829877781925023502219750608942633807656443548699241,crystal clear,Figurative
idiom,95136072705056169356794830497376738679827196182836066118004884239271650499826,bear in mind,Figurative
simile,9336424336772997158647151959332417134513139526260004143080151522656312605057,as red as a tomato,Partial Literal
metaphor,75214236292530633726904214888429594426162751852767788686108189438042867935821,house of cards,Figurative
idiom,13144846465786052265383402364315090234265685690710292674137591141708805029805,above board,No Category
simile,55041699830748021456163864973676208063862864562176445690543716931162620008294,as slow as a snail,Partial Literal
metaphor,1760368131810057063989683930067307555627293671444243338091970392514472274198,sea of umbrellas,Partial Literal
simile,101483841140149583371108507234559182265036450449999158338763554118327214191037,as pretty as a princess,Figurative
simile,56393944840726258395680819339542205120105288140696211876347005730822386729348,as busy as a bee,Partial Literal
idiom,30111507376057005253640368849064925538066248172808659621173543893317407690979,from scratch,None
metaphor,9164548016462363937875165773502009709418038232800751225279257040563335055622,blanket of flowers,Figurative
idiom,52939599734918573173244556660380377813046263626934190404305812956289340356639,count sheep,Partial Literal
idiom,8070509435658615958044823079832496502332005492503051507336829392361117828212,bell the cat,Partial Literal
idiom,39599190735098848837830255079111639721420423060621350178674855097639396193345,hard as nails,Figurative
simile,68872600638526060754747683650246355277566344386620395689072187957501408434354,as tall as a skyscraper,Partial Literal
idiom,23206861128573854914075580620344748178705374046465528153979416202044190040886,break even,None
simile,89729608560059338364826718179036802826154906985628135135708578189973053411817,as hard as rocks,Partial Literal
idiom,29726334212891953459370750089711873583764808546130033274258387827570346683903,six feet under,Figurative
idiom,112466623941509441366976590948755033201073975556527585005779532101780598255976,round the clock,Figurative+Literal
metaphor,8960513416899354795624259759259673960879142594550931854899090783058961734605,heart sank,Figurative
idiom,70889746836205285990842656799575347040774966145748755519771580151053183116502,in the long run,Figurative
simile,18328467591113736214781127084744641556040335543539296972255852658852895620304,as funny as a clown,Partial Literal
idiom,87496199311079329011094202214609978806020438877246891276867345912905889224538,pull out all the stops,None
idiom,22446877834190011793176782445458818526184694210079281488771824814403803044254,bend someone's ear,None
idiom,75917238893475764547684732188215533073480100262833116135664433128573272331497,up against it,None
idiom,105811502063960134664826565597910071043085302257689666206902191719090951679550,behind someone's back,Figurative+Literal
simile,111406365152561768639015804197299462231116781778244346478509561000910976620990,as big as a mountain,Partial Literal
idiom,66775584364844062096221363956391818216477991397683358309795587324222612827689,put paid to,Figurative
simile,8270280315624801347775009746025121182559663305812930104542476284249598081048,as cold as ice,Figurative
idiom,42926345037618036592343937310005846545876987717796745123213954106221904083329,the ball is in someone's court,Literal
idiom,83311092944763990230474921497722659777016035158967992501550966071674758809744,at a loss for words,Figurative
idiom,51377047478298928436541080182243609692251021880218948552215070100881503814751,show a leg,Figurative
simile,97371429711456813079919580479025317267299769229300873981576826605728801145284,as tall as a mountain,Partial Literal
simile,20430562256100955999519812676739001469156346566690220553532855730623526921756,as sweet as sugar,Partial Literal
idiom,59108139929466809533557472749477766137282700795642759435023866047337164956130,hard as nails,Figurative
simile,21102367157109408719649535076615527635827274182474696317905375567386206012380,as fast as a cheetah,Partial Literal
idiom,28413649806391269680447456939759285035409369153166890031794973276020667648799,turn the other cheek,None
idiom,76814824014364944474101523431459544585575046340521949319817619816207892541512,follow suit,Figurative
idiom,68821374325339906638830405140515162173850290509173422915699893179957099232256,make a clean break,Figurative
idiom,46775471198038594446604432300848420699917211987133311783756605329000251655608,hate someone's guts,None
metaphor,92225286571450366369735169141041493158152185076344290098754043917172258890359,she is a ray of sunshine,Partial Literal
idiom,106148195202403616673321283782326629199596839187454700215950230498161182451779,slow burn,Figurative
idiom,72319099795303561188388635545842162218464334672968408251211092606990924341190,cross swords,Figurative
simile,23613473451837214856095318596045183682906344609618236988315725742201910386070,as fresh as a daisy,Partial Literal
simile,20509859937726531098005510973764330230666486838948335322203430289783701133963,as pretty as a princess,Figurative
idiom,9645129927175815835037558583796189390951640324014298680991425159926061161610,under lock and key,No Category
metaphor,111111834064976006738580868916286066780960910426507712996180192735452514255404,he is a fox,Partial Literal
metaphor,58823540184256134037476922118377858304161538099851948236405119072777932378947,eyes were fireflies,Partial Literal
idiom,104749980950135692838836730102564653620664150231978560665381116482841055116571,up a tree,None
simile,58041075748648354905885833662218539703732871706588177532106981136123413219479,as dry as a desert,Partial Literal
idiom,33175672074074753021153837244086740954274261678498693347424762084640982877021,behind someone's back,None
simile,51918125961594450379733674034796661396142387848840363039296215337036345946299,as hard as rocks,Figurative
idiom,63644051811781434408932985298719656283821132321759327348219778763242942885211,tell tales,None
simile,81254873181344890062964087899013101676009155710326662518989632611886282032478,as red as a cherry,Partial Literal
simile,106709556620595217362543515690247418582817323838767012750059848135482509907107,as fresh as a daisy,Partial Literal
idiom,83583573414166996979530666255260181702700961307008064754640787069380201784833,get under someone's skin,No Category
idiom,71613083189323154748292426633389851580952449420205693715910754839344449813851,take a hike,None
idiom,91672624504921897271170913299020817349823265916476574060786248311817671239056,bow and scrape,Figurative+Literal
idiom,78774914170746645511590277732045265181282181373750036247029818331555567528616,eat your heart out,Figurative
idiom,101031151300064592065038101805668125654720095759678654723270083276656198412095,take the cake,None
idiom,16341796004597918800508940690329470744563069096435386496135085903594857801035,go for broke,None
simile,115363175014184059750104346705794376006098159968345522684962912980897214539669,as dry as a desert,Figurative
simile,104555369851122369685499912941705071023940431949430108467012079945740594639361,as smooth as silk,Partial Literal
idiom,106608297940231356067656949084957329295841083450328160580826519808696520812436,follow suit,None
metaphor,49363315254603841653751457468443676807788310404776869326728650663134219380739,blanket of bullets,Figurative
idiom,103087630926568127063463465298022851882064497360614330982753571898943960087687,from the horse's mouth,None
simile,82645455263363617277494745584251224406647726317320189069279980860174201789999,as strong as an ox,Partial Literal
idiom,30609551471132537850669133382914072271794776771150547331285274616842883491092,chew the cud,Figurative
idiom,60043252006541358023955730904461497290557657799106990907114507868861930023,moment of truth,None
idiom,25644040690224398897155543023238629125349971183441290840257068827260558121290,speak of the devil,Partial Literal
idiom,29475847148570112598051522726653036785091694382237677030833509321024408786155,send someone packing,No Category
simile,107125952265775319316097679103578513909116067076880435331026464782588984916015,as blue as the ocean,Figurative
idiom,47158644894561876940470243504199095765792037092188991024831696810470402584685,cry wolf,None
idiom,85068984273036547278568126146082977463793120183836575553846111822575412850611,jump on the bandwagon,Partial Literal
idiom,46243219152806061039754159333441343763809569707355026209435819063992962832472,fit to be tied,None
idiom,5816720798880023648001455630211800590880765636235727654883064246508489093838,tie the knot,Literal
simile,47622433717007245215183487070617159251986049573566831165181921198066334761004,as sharp as an arrow,Partial Literal
metaphor,50394825709102659689897783640522375344028108693118072960342616076366545267016,a mighty lion,Partial Literal
simile,32475923071356522251039611767955431260408452611218879448613139292892820285592,as pale as a ghost,Partial Literal
simile,96161899182148812380255217408185077172115799789780188976790206202791922368912,as hot as lava,Partial Literal
idiom,100942035607058773045210964931305165575784293636577588280633720728731380613329,off the hook,None
simile,110547611631670985311328162075839475046214062321791226253034477011274063450967,as funny as a clown,Partial Literal
